company_id,year,operating_activity,investing_activity,financing_activity,pattern_label,cfo_sign,cfi_sign,cff_sign
ABB,Dec 2012,101.0,-59.0,-42.0,Reinvestor,1.0,-1.0,-1.0
ABB,Mar 2014,0.0,0.0,0.0,Mixed,0.0,0.0,0.0
ABB,Mar 2014,155.0,-144.0,-42.0,Reinvestor,1.0,-1.0,-1.0
ABB,Mar 2015,-35.0,-1864.0,1902.0,Growth Funded by Debt,-1.0,-1.0,1.0
ABB,Mar 2015,215.0,-187.0,-58.0,Reinvestor,1.0,-1.0,-1.0
ABB,Mar 2016,249.0,-77.0,-80.0,Reinvestor,1.0,-1.0,-1.0
ABB,Mar 2016,1544.0,-816.0,-722.0,Shareholder Returns,1.0,-1.0,-1.0
ABB,Mar 2017,307.0,-155.0,-90.0,Shareholder Returns,1.0,-1.0,-1.0
ABB,Mar 2017,2189.0,-1730.0,-455.0,Shareholder Returns,1.0,-1.0,-1.0
ABB,Mar 2018,153.0,-215.0,-102.0,Reinvestor,1.0,-1.0,-1.0
ABB,Mar 2018,2198.0,-3192.0,1589.0,Mixed,1.0,-1.0,1.0
ABB,Mar 2019,499.0,-257.0,-143.0,Shareholder Returns,1.0,-1.0,-1.0
ABB,Mar 2019,2591.0,-3050.0,38.0,Mixed,1.0,-1.0,1.0
ABB,Mar 2020,626.0,-401.0,-217.0,Shareholder Returns,1.0,-1.0,-1.0
ABB,Mar 2020,5437.0,-5643.0,1250.0,Mixed,1.0,-1.0,1.0
ABB,Mar 2021,727.0,-72.0,-582.0,Shareholder Returns,1.0,-1.0,-1.0
ABB,Mar 2021,3784.0,-4009.0,-745.0,Shareholder Returns,1.0,-1.0,-1.0
ABB,Mar 2022,948.0,-396.0,-637.0,Shareholder Returns,1.0,-1.0,-1.0
ABB,Mar 2022,4097.0,-3936.0,-235.0,Shareholder Returns,1.0,-1.0,-1.0
ABB,Mar 2023,893.0,-148.0,-639.0,Reinvestor,1.0,-1.0,-1.0
ABB,Mar 2023,3777.0,-4699.0,923.0,Mixed,1.0,-1.0,1.0
ABB,Mar 2024,1213.0,-416.0,-745.0,Shareholder Returns,1.0,-1.0,-1.0
ABB,Mar 2024,6038.0,-4943.0,-543.0,Shareholder Returns,1.0,-1.0,-1.0
ABB,TTM,,,,Mixed,,,
ADANIENSOL,Mar 2014,0.0,0.0,0.0,Mixed,0.0,0.0,0.0
ADANIENSOL,Mar 2015,-35.0,-1864.0,1902.0,Growth Funded by Debt,-1.0,-1.0,1.0
ADANIENSOL,Mar 2016,1544.0,-816.0,-722.0,Shareholder Returns,1.0,-1.0,-1.0
ADANIENSOL,Mar 2017,2189.0,-1730.0,-455.0,Shareholder Returns,1.0,-1.0,-1.0
ADANIENSOL,Mar 2018,2198.0,-3192.0,1589.0,Mixed,1.0,-1.0,1.0
ADANIENSOL,Mar 2019,2591.0,-3050.0,38.0,Mixed,1.0,-1.0,1.0
ADANIENSOL,Mar 2020,5437.0,-5643.0,1250.0,Mixed,1.0,-1.0,1.0
ADANIENSOL,Mar 2021,3784.0,-4009.0,-745.0,Shareholder Returns,1.0,-1.0,-1.0
ADANIENSOL,Mar 2022,4097.0,-3936.0,-235.0,Shareholder Returns,1.0,-1.0,-1.0
ADANIENSOL,Mar 2023,3777.0,-4699.0,923.0,Mixed,1.0,-1.0,1.0
ADANIENSOL,Mar 2024,6038.0,-4943.0,-543.0,Shareholder Returns,1.0,-1.0,-1.0
ADANIENSOL,TTM,,,,Mixed,,,
ADANIENT,Mar 2013,7666.0,-14790.0,7199.0,Mixed,1.0,-1.0,1.0
ADANIENT,Mar 2014,8228.0,-8007.0,-1109.0,Shareholder Returns,1.0,-1.0,-1.0
ADANIENT,Mar 2015,8532.0,-11465.0,3445.0,Mixed,1.0,-1.0,1.0
ADANIENT,Mar 2016,5112.0,-1825.0,-3448.0,Shareholder Returns,1.0,-1.0,-1.0
ADANIENT,Mar 2017,774.0,-1460.0,716.0,Mixed,1.0,-1.0,1.0
ADANIENT,Mar 2018,2942.0,-7649.0,5120.0,Mixed,1.0,-1.0,1.0
ADANIENT,Mar 2019,3236.0,2487.0,-6158.0,Liquidating Assets,1.0,1.0,-1.0
ADANIENT,Mar 2020,2454.0,-1082.0,-221.0,Shareholder Returns,1.0,-1.0,-1.0
ADANIENT,Mar 2021,4043.0,-8611.0,3109.0,Mixed,1.0,-1.0,1.0
ADANIENT,Mar 2022,1385.0,-17041.0,15901.0,Mixed,1.0,-1.0,1.0
ADANIENT,Mar 2023,17626.0,-15459.0,-1198.0,Shareholder Returns,1.0,-1.0,-1.0
ADANIENT,Mar 2024,10312.0,-18767.0,8879.0,Mixed,1.0,-1.0,1.0
