company_id,company_name,sector,P/E,P/B,EV/EBITDA,FCF_yield_pct,5yr_median_PE,PE_vs_sector_median_pct,flag
ABB,Abbott India Ltd,Industrials,46.0,,,0.12969124316909117,16.0,221.26022126022127,Caution
ABB,Abbott India Ltd,Industrials,46.0,,,0.11854827664204981,16.0,221.26022126022127,Caution
ABB,Abbott India Ltd,Industrials,46.0,,,0.10728204142029314,16.0,221.26022126022127,Caution
ABB,Abbott India Ltd,Industrials,46.0,,,0.09232755333619416,16.0,221.26022126022127,Caution
ABB,Abbott India Ltd,Industrials,46.0,,,0.0942735669797938,16.0,221.26022126022127,Caution
ABB,Abbott India Ltd,Industrials,46.0,,,0.07127809977975783,16.0,221.26022126022127,Caution
ADANIENSOL,Adani Energy Solutions Ltd,Energy,9.0,,,0.636977170447354,39.0,64.51612903225806,Discount
ADANIENSOL,Adani Energy Solutions Ltd,Energy,9.0,,,0.5042939826674849,39.0,64.51612903225806,Discount
ADANIENSOL,Adani Energy Solutions Ltd,Energy,9.0,,,0.39723482480438727,39.0,64.51612903225806,Discount
ADANIENSOL,Adani Energy Solutions Ltd,Energy,9.0,,,0.3574885460016914,39.0,64.51612903225806,Discount
ADANIENSOL,Adani Energy Solutions Ltd,Energy,9.0,,,0.4159014744220023,39.0,64.51612903225806,Discount
ADANIENSOL,Adani Energy Solutions Ltd,Energy,9.0,,,0.3141880794689826,39.0,64.51612903225806,Discount
ADANIENT,Adani Enterprises Ltd,Industrials,11.6,,,-4.867060179947103,6.0,55.796055796055796,Discount
ADANIENT,Adani Enterprises Ltd,Industrials,11.6,,,-3.8907651687842,6.0,55.796055796055796,Discount
ADANIENT,Adani Enterprises Ltd,Industrials,11.6,,,-4.119192827235645,6.0,55.796055796055796,Discount
ADANIENT,Adani Enterprises Ltd,Industrials,11.6,,,-4.526933568173478,6.0,55.796055796055796,Discount
ADANIENT,Adani Enterprises Ltd,Industrials,11.6,,,-4.30139911209558,6.0,55.796055796055796,Discount
ADANIENT,Adani Enterprises Ltd,Industrials,11.6,,,-4.499064189327432,6.0,55.796055796055796,Discount
ADANIGREEN,Adani Green Energy Ltd,Energy,96.5,,,-2.749843254607919,70.0,691.7562724014338,Caution
ADANIGREEN,Adani Green Energy Ltd,Energy,96.5,,,-2.578912560276067,70.0,691.7562724014338,Caution
ADANIGREEN,Adani Green Energy Ltd,Energy,96.5,,,-2.5712551894198445,70.0,691.7562724014338,Caution
ADANIGREEN,Adani Green Energy Ltd,Energy,96.5,,,-2.6939361006107525,70.0,691.7562724014338,Caution
ADANIGREEN,Adani Green Energy Ltd,Energy,96.5,,,-2.972506420219671,70.0,691.7562724014338,Caution
ADANIGREEN,Adani Green Energy Ltd,Energy,96.5,,,-2.61443014217979,70.0,691.7562724014338,Caution
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,12.9,,,1.1832687010454845,61.5,62.04906204906205,Discount
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,12.9,,,1.1738153467805525,61.5,62.04906204906205,Discount
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,12.9,,,1.3499093695393098,61.5,62.04906204906205,Discount
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,12.9,,,1.1242720440721181,61.5,62.04906204906205,Discount
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,12.9,,,1.3000236289143219,61.5,62.04906204906205,Discount
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,12.9,,,1.2211403642233938,61.5,62.04906204906205,Discount
ADANIPOWER,Adani Power Ltd,Energy,32.2,,,1.4854532502800215,26.5,230.8243727598567,Caution
ADANIPOWER,Adani Power Ltd,Energy,32.2,,,1.5789905710351277,26.5,230.8243727598567,Caution
ADANIPOWER,Adani Power Ltd,Energy,32.2,,,1.7896907808547313,26.5,230.8243727598567,Caution
ADANIPOWER,Adani Power Ltd,Energy,32.2,,,1.6927394997429723,26.5,230.8243727598567,Caution
ADANIPOWER,Adani Power Ltd,Energy,32.2,,,1.6425087938567808,26.5,230.8243727598567,Caution
ADANIPOWER,Adani Power Ltd,Energy,32.2,,,1.2863439442922924,26.5,230.8243727598567,Caution
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,41.75,,,0.3336407125060671,19.0,312.5,Caution
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,41.75,,,0.3095501119150748,19.0,312.5,Caution
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,41.75,,,0.280153325488515,19.0,312.5,Caution
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,41.75,,,0.20774292222317642,19.0,312.5,Caution
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,41.75,,,0.17001458094960514,19.0,312.5,Caution
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,41.75,,,0.16720543083991699,19.0,312.5,Caution
ATGL,Adani Total Gas Ltd,Energy,21.2,,,,,151.97132616487457,Caution
ATGL,Adani Total Gas Ltd,Energy,21.2,,,,,151.97132616487457,Caution
ATGL,Adani Total Gas Ltd,Energy,21.2,,,,,151.97132616487457,Caution
ATGL,Adani Total Gas Ltd,Energy,21.2,,,,,151.97132616487457,Caution
