company_id,metric_type,period_years,value_pct
1,unnamed:_2,10,21.0
1,unnamed:_3,10,22.0
1,unnamed:_4,10,15.0
1,unnamed:_5,10,17.0
10,unnamed:_2,5,24.0
10,unnamed:_3,5,6.0
10,unnamed:_4,5,8.0
10,unnamed:_5,5,14.0
11,unnamed:_2,3,17.0
11,unnamed:_3,3,9.0
11,unnamed:_4,3,7.0
11,unnamed:_5,3,13.0
13,unnamed:_2,10,11.0
13,unnamed:_3,10,9.0
13,unnamed:_4,10,14.0
13,unnamed:_5,10,40.0
14,unnamed:_2,5,10.0
14,unnamed:_3,5,8.0
14,unnamed:_4,5,16.0
14,unnamed:_5,5,44.0
15,unnamed:_2,3,14.0
15,unnamed:_3,3,12.0
15,unnamed:_4,3,8.0
15,unnamed:_5,3,47.0
16,unnamed:_4,1,16.0
17,unnamed:_2,10,8.0
17,unnamed:_3,10,3.0
17,unnamed:_4,10,12.0
17,unnamed:_5,10,18.0
18,unnamed:_2,5,9.0
18,unnamed:_3,5,4.0
18,unnamed:_4,5,20.0
18,unnamed:_5,5,17.0
19,unnamed:_2,3,13.0
19,unnamed:_3,3,0.0
19,unnamed:_5,3,17.0
2,unnamed:_2,5,22.0
2,unnamed:_3,5,23.0
2,unnamed:_4,5,8.0
2,unnamed:_5,5,17.0
20,unnamed:_4,1,39.0
3,unnamed:_2,3,30.0
3,unnamed:_3,3,26.0
3,unnamed:_4,3,8.0
3,unnamed:_5,3,17.0
4,unnamed:_4,1,13.0
5,unnamed:_2,10,12.0
5,unnamed:_3,10,9.0
5,unnamed:_4,10,15.0
5,unnamed:_5,10,27.0
6,unnamed:_2,5,13.0
6,unnamed:_3,5,11.0
6,unnamed:_4,5,22.0
6,unnamed:_5,5,29.0
7,unnamed:_2,3,5.0
7,unnamed:_3,3,10.0
7,unnamed:_4,3,4.0
7,unnamed:_5,3,31.0
8,unnamed:_4,1,27.0
9,unnamed:_2,10,23.0
9,unnamed:_3,10,9.0
9,unnamed:_4,10,9.0
9,unnamed:_5,10,16.0
