id,cluster_id,cluster_name,distance_from_centroid
1,0,High-Quality Compounders,0.1849445506917497
256,0,High-Quality Compounders,0.18295476462594668
91,0,High-Quality Compounders,0.18617700755639033
400,0,High-Quality Compounders,0.18300613262844842
92,0,High-Quality Compounders,0.1865770731162765
778,0,High-Quality Compounders,0.1418565968997531
401,0,High-Quality Compounders,0.18117037362225324
257,0,High-Quality Compounders,0.1846250362666576
93,0,High-Quality Compounders,0.186403146778922
779,0,High-Quality Compounders,0.18110358309062374
402,0,High-Quality Compounders,0.18207928303933948
780,0,High-Quality Compounders,0.1849799255408069
94,0,High-Quality Compounders,0.18813656089077987
95,0,High-Quality Compounders,0.188449115421843
781,0,High-Quality Compounders,0.18260969672755173
96,0,High-Quality Compounders,0.18789897337911377
782,0,High-Quality Compounders,0.18171367729749183
97,0,High-Quality Compounders,0.18687724889833807
783,0,High-Quality Compounders,0.18065961646813178
784,0,High-Quality Compounders,0.17374807530944084
98,0,High-Quality Compounders,0.18731474797116954
99,0,High-Quality Compounders,0.18536635511801247
785,0,High-Quality Compounders,0.17581554813926675
786,0,High-Quality Compounders,0.17167972046862293
100,0,High-Quality Compounders,0.18527152279638073
787,0,High-Quality Compounders,0.1721939976638678
788,0,High-Quality Compounders,0.17615027011919124
970,0,High-Quality Compounders,0.15861341933549644
468,0,High-Quality Compounders,0.17724729774435916
469,0,High-Quality Compounders,0.17887736677042002
971,0,High-Quality Compounders,0.1669577677592808
470,0,High-Quality Compounders,0.1813625356562267
972,0,High-Quality Compounders,0.17534555688921571
244,0,High-Quality Compounders,0.17831589727226535
958,0,High-Quality Compounders,0.18482169693843437
946,0,High-Quality Compounders,0.14365907172083967
268,0,High-Quality Compounders,0.058868902954663724
934,0,High-Quality Compounders,0.3082316159847797
280,0,High-Quality Compounders,0.12804937926168067
292,0,High-Quality Compounders,1.0053371308855523
232,2,Value Cyclicals,1.3068025354938124
186,0,High-Quality Compounders,0.18657627926252887
220,0,High-Quality Compounders,0.09616284046591445
1078,0,High-Quality Compounders,0.16519381678171768
1077,0,High-Quality Compounders,0.16519381678171768
138,0,High-Quality Compounders,0.18092697318103637
139,0,High-Quality Compounders,0.18092697318103637
1065,0,High-Quality Compounders,0.18175045202902923
1053,0,High-Quality Compounders,0.08525049930409404
981,0,High-Quality Compounders,0.18470209775127783
162,0,High-Quality Compounders,0.5829608846414981
174,0,High-Quality Compounders,0.06262765882605482
1029,0,High-Quality Compounders,0.07853971088371502
304,0,High-Quality Compounders,0.44764709672200254
1017,0,High-Quality Compounders,0.16644554784382906
208,0,High-Quality Compounders,1.0432055029228027
1005,0,High-Quality Compounders,0.183565904080224
1041,0,High-Quality Compounders,0.08858836219634979
911,0,High-Quality Compounders,0.05800108875190722
852,0,High-Quality Compounders,0.9330907554477151
316,0,High-Quality Compounders,0.44792123323365723
491,0,High-Quality Compounders,0.20649490968567624
754,0,High-Quality Compounders,0.04785920034165895
742,0,High-Quality Compounders,0.18086129529664083
514,0,High-Quality Compounders,1.4365772147485725
730,0,High-Quality Compounders,0.08056329119927394
526,0,High-Quality Compounders,0.8072198085061726
718,0,High-Quality Compounders,0.16802962340315197
538,0,High-Quality Compounders,2.8426381459645613
479,0,High-Quality Compounders,0.8530852442220718
706,0,High-Quality Compounders,0.32654630559837844
562,0,High-Quality Compounders,0.2278685391204592
679,0,High-Quality Compounders,0.4288956357253888
574,0,High-Quality Compounders,0.4821567873746253
667,0,High-Quality Compounders,0.09928752200691121
586,0,High-Quality Compounders,0.1844820584609938
598,0,High-Quality Compounders,0.08958502303027073
655,0,High-Quality Compounders,0.07016452742880325
641,0,High-Quality Compounders,0.1024351052518521
550,0,High-Quality Compounders,0.1890285223612988
910,0,High-Quality Compounders,0.05800108875190722
766,0,High-Quality Compounders,0.18710574822589138
790,0,High-Quality Compounders,0.13784183320770996
328,3,Distressed or Turnaround,0.19364237917335247
340,0,High-Quality Compounders,0.13998999811138424
352,0,High-Quality Compounders,0.18366036388957274
364,0,High-Quality Compounders,0.11594983910708205
854,0,High-Quality Compounders,0.9330907554477151
853,0,High-Quality Compounders,0.9330907554477151
115,0,High-Quality Compounders,0.17700432032792832
851,0,High-Quality Compounders,0.9330907554477151
456,0,High-Quality Compounders,0.1291564663176282
376,0,High-Quality Compounders,0.1378504279315248
388,0,High-Quality Compounders,0.14075721496938856
838,0,High-Quality Compounders,0.17913020704838023
826,0,High-Quality Compounders,0.2882466313530607
412,0,High-Quality Compounders,0.1437175808497529
814,0,High-Quality Compounders,0.1761904875034772
424,0,High-Quality Compounders,0.12812241000919458
802,0,High-Quality Compounders,0.12217956432901857
436,0,High-Quality Compounders,0.1489517646726189
850,0,High-Quality Compounders,0.9330907554477151
114,0,High-Quality Compounders,0.17700432032792832
629,0,High-Quality Compounders,0.18261958272549925
67,0,High-Quality Compounders,0.05618758647208594
1161,0,High-Quality Compounders,1.1293825167923663
1101,0,High-Quality Compounders,0.18234385644800608
35,0,High-Quality Compounders,0.09584476714259485
1113,0,High-Quality Compounders,0.14600575654322165
1173,2,Value Cyclicals,3.6669692104394294
79,0,High-Quality Compounders,0.5974462863783003
1125,0,High-Quality Compounders,0.17080859639908516
102,0,High-Quality Compounders,0.15461092439977395
1137,0,High-Quality Compounders,0.09689890890615456
55,0,High-Quality Compounders,0.05618758647208594
1149,0,High-Quality Compounders,0.1496744091827068
480,0,High-Quality Compounders,1.1865391869727386
982,0,High-Quality Compounders,0.18480410050093568
855,0,High-Quality Compounders,0.7285626499243276
317,0,High-Quality Compounders,0.4362720739437702
221,0,High-Quality Compounders,0.09937107607225418
719,0,High-Quality Compounders,0.17447733673026164
1114,0,High-Quality Compounders,0.13686718918741403
755,0,High-Quality Compounders,0.059721598000917135
858,0,High-Quality Compounders,0.7285626499243276
857,0,High-Quality Compounders,0.7285626499243276
492,0,High-Quality Compounders,0.21327598971470868
1030,0,High-Quality Compounders,0.11592196159612818
1006,0,High-Quality Compounders,0.17483542160043852
527,0,High-Quality Compounders,0.9043692326436423
856,0,High-Quality Compounders,0.7285626499243276
209,0,High-Quality Compounders,1.1154417031909722
767,0,High-Quality Compounders,0.18800200610003234
503,0,High-Quality Compounders,0.6845331212026609
389,0,High-Quality Compounders,0.14117049857089323
743,0,High-Quality Compounders,0.17997883462514216
1174,2,Value Cyclicals,2.54974573879302
187,0,High-Quality Compounders,0.18687338508394086
1018,0,High-Quality Compounders,0.1697852213091738
515,0,High-Quality Compounders,1.4972883440316571
731,0,High-Quality Compounders,0.07532146343661615
365,0,High-Quality Compounders,0.12647642573965695
24,0,High-Quality Compounders,0.19059057358924017
1138,0,High-Quality Compounders,0.13938528082541154
839,0,High-Quality Compounders,0.18300846581002064
913,0,High-Quality Compounders,0.05532082765309557
293,0,High-Quality Compounders,0.9991286990383537
912,0,High-Quality Compounders,0.05532082765309557
827,0,High-Quality Compounders,0.2799430948770888
1150,0,High-Quality Compounders,0.15515930217545712
413,0,High-Quality Compounders,0.1439194062800891
305,0,High-Quality Compounders,0.45801405131537715
281,0,High-Quality Compounders,0.16604533218748385
1126,0,High-Quality Compounders,0.1666257014374486
935,0,High-Quality Compounders,0.3017192338316169
815,0,High-Quality Compounders,0.1649915992207611
425,0,High-Quality Compounders,0.13759633259104778
269,0,High-Quality Compounders,0.06429958615762589
947,0,High-Quality Compounders,0.13574439253590112
803,0,High-Quality Compounders,0.11839622509284466
437,0,High-Quality Compounders,0.1533516447757059
68,0,High-Quality Compounders,0.07879729820040754
791,0,High-Quality Compounders,0.13529512389094234
959,0,High-Quality Compounders,0.18510220370710576
36,0,High-Quality Compounders,0.08009989550032537
377,0,High-Quality Compounders,0.13595814999186795
245,0,High-Quality Compounders,0.17706108304629462
457,0,High-Quality Compounders,0.13590537648166445
1162,0,High-Quality Compounders,1.2040478506295211
630,0,High-Quality Compounders,0.18231811335703316
539,0,High-Quality Compounders,2.4733224505320237
233,2,Value Cyclicals,0.08672153391612515
175,0,High-Quality Compounders,0.04722682228400789
80,0,High-Quality Compounders,0.3583062596836222
859,0,High-Quality Compounders,0.7285626499243276
599,0,High-Quality Compounders,0.08857557326534395
680,0,High-Quality Compounders,0.3172653726695341
656,0,High-Quality Compounders,0.0795620065889063
3,0,High-Quality Compounders,0.18439010297183764
353,0,High-Quality Compounders,0.18381417177862636
1054,0,High-Quality Compounders,0.05975875910269986
668,0,High-Quality Compounders,0.07822731546928301
563,0,High-Quality Compounders,0.33304019896246634
117,0,High-Quality Compounders,0.1784968849637983
116,0,High-Quality Compounders,0.1784968849637983
329,3,Distressed or Turnaround,0.22021528307578267
575,0,High-Quality Compounders,0.48232389886187266
163,0,High-Quality Compounders,0.6633400175841587
56,0,High-Quality Compounders,0.07879729820040754
103,0,High-Quality Compounders,0.1540200054695433
1066,0,High-Quality Compounders,0.18154849840682344
1079,0,High-Quality Compounders,0.1798503254502785
1042,0,High-Quality Compounders,0.09887615627071122
341,0,High-Quality Compounders,0.16212008537676198
