metric,p10,p25,p50,p75,p90,mean,std
id,119.30000000000001,296.75,592.5,888.25,1065.7,592.5,341.935666463737
net_profit_margin_pct,1.756,5.2250000000000005,11.04,17.07,26.284,18.65693998309383,67.67047432121703
operating_profit_margin_pct,4.0,13.0,21.0,39.0,1364.200000000001,346.8913624220837,5504.872521699841
return_on_equity_pct,4.0070000000000014,10.555,16.71,24.95,38.989000000000004,152.7639695945946,1145.252160181234
debt_to_equity,0.0034,0.05065,0.57695,2.573025,7.947500000000003,2.811180996621622,12.703533773858057
interest_coverage,1.4314,2.91575,11.6667,56.3465,213.5036,133.61375178735108,630.2626077116196
asset_turnover,0.08638,0.2353,0.6921,1.1717,1.8491199999999999,4.110240321217244,21.980364820281352
free_cash_flow_cr,-9293.699999999997,-713.0,741.0,3640.5,13927.000000000007,779.9830795262268,16173.746987854973
capex_cr,159.0,503.5,1526.5,5464.25,15454.800000000003,6056.598138747885,13460.345951336072
earnings_per_share,2.0,7.0,18.0,41.0,114.10000000000014,115.8957627118644,1512.6063498535614
book_value_per_share,0.7126300000000002,2.203125,5.60595,11.600774999999999,24.332760000000004,14.236921452702703,165.93989517056536
dividend_payout_ratio_pct,0.0,11.0,24.0,40.25,61.0,26.72966101694915,46.93981097105791
total_debt_cr,20.30000000000001,271.0,6624.0,63614.5,216360.60000000006,91013.47212837837,242215.4342534923
cash_from_operations_cr,-4100.9,690.75,2954.5,9546.0,23221.200000000004,6147.929780033841,19253.607479678118
